"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",NA,3496,1436,71,417,1263,176,341,437,280,143,251,724,140,1138,428,238,3754,867,374,706,209,320,497,186,432,73,159,1226,83,161,246,825,246,527,2876,141,24,1479,4364,28,55,19,227,28,207,1104,1833,59,724
"2",NA,NA,4784,3567,3079,2233,3546,3154,3059,3215,3353,3262,2772,3355,2468,3060,3258,4688,2629,3121,3968,3362,3815,2999,3310,3063,3423,3337,4722,3413,3335,3742,4321,3742,2969,6372,3354,3520,2017,7860,3468,3550,3515,3269,3468,3288,2584,1663,3437,2772
"3",NA,NA,NA,1364,1853,2560,1280,1777,1873,1716,1579,1687,2160,1576,2417,1864,1673,2364,2302,1810,1477,1587,1116,1932,1621,1868,1509,1594,432,1519,1597,1190,836,1190,1963,2769,1577,1411,2766,4258,1463,1381,1417,1662,1463,1643,2275,3121,1495,2160
"4",NA,NA,NA,NA,489,1334,178,413,508,352,215,323,796,212,1209,500,309,3683,938,446,708,280,248,568,257,504,145,230,1155,154,232,174,753,174,599,2805,213,47,1550,4293,99,17,53,298,99,279,1176,1905,131,796
"5",NA,NA,NA,NA,NA,846,593,76,20,137,274,184,307,277,721,11,180,4172,450,43,1123,283,737,79,232,15,344,258,1643,334,256,663,1242,663,110,3293,276,442,1061,4781,389,472,436,191,389,210,687,1416,358,307
"6",NA,NA,NA,NA,NA,NA,1322,921,826,982,1119,1029,539,1122,243,827,1025,4926,396,888,1735,1128,1582,766,1077,830,1189,1104,2489,1180,1102,1508,2087,1508,735,4139,1121,1287,216,5627,1235,1317,1281,1036,1235,1055,359,571,1203,539
"7",NA,NA,NA,NA,NA,NA,NA,518,613,457,320,428,900,317,1180,605,414,3618,1043,551,813,350,409,673,362,609,250,335,1316,259,337,335,914,335,704,2965,318,152,1529,4454,204,162,158,403,204,384,1037,1884,236,900
"8",NA,NA,NA,NA,NA,NA,NA,NA,96,61,198,108,383,201,796,87,104,4096,525,33,1047,207,661,155,156,91,268,183,1568,258,180,587,1166,587,186,3217,200,366,1137,4706,314,396,360,115,314,134,763,1492,282,383
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,157,294,204,287,297,701,1,199,4191,430,63,1143,303,757,60,251,5,364,278,1663,354,276,683,1262,683,90,3313,296,461,1042,4801,409,492,456,210,409,230,667,1396,378,287
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,47,444,140,857,148,43,4035,586,94,986,146,600,216,95,152,207,122,1507,198,120,526,1105,526,247,3157,139,305,1198,4645,253,335,299,54,253,73,824,1553,221,444
