Restaurant,Amount,YelpTag1,YelpTag2,YelpTag3,Rating
Ali Baba,13,Mediterranean,Hookah Bars,Lebanese,4.5
Applebees,15,Sports Bars,Burgers,American (Traditional),2.5
Bamboo House,18,Chinese,Sushi Bars,0,3.5
Banh Mi Boy,9,Vietnamese,Coffee & Tea,Sandwiches,4
Bennie Dollards Fantasy Cuisine,7,Food Trucks,0,0,5
Buffalo Wild Wings,14,Chicken Wings,American (Traditional),Sports Bars,3
Burger King,7,Fast Food,Burgers,Hot Dogs,2
Caffe Gelato,22,Ice Cream & Frozen Yogurt,Italian,Gelato,3.5
California Tortilla,9,Mexican,Tex-Mex,Vegetarian,4
Catherine Rooney's Irish Pub,16,Breakfast & Brunch,American (Traditional),Irish Pub,3
Cheeburger Cheeburger,13,Burgers,0,0,3
CHEF TAN,15,Chinese,0,0,4
Chick-fil-A,8,Fast Food,0,0,4
Chipotle Mexican Grill,10,Mexican,Fast Food,0,2.5
Claymont Steak Shop,12,Cheesesteaks,Sandwiches,0,3
Colorful Yun Nan,14,Chinese,Noodles,0,4
Cosi,11,American (New),0,0,3.5
Dairy Queen,6,Fast Food,Ice Cream & Frozen Yogurt,0,3.5
Deer Park Tavern,17,Bars,American (Traditional),0,3.5
Del Pez Mexican Gastropub,16,Mexican,Latin American,Gastropubs,3.5
Dominos Pizza,10,Pizza,Chicken Wings,Sandwiches,1.5
El Diablo Burritos,11,Mexican,0,0,4
Grain Craft Bar + Kitchen,19,American (New),Bars,Gastropubs,3.5
Grotto Pizza,9,Pizza,Burgers,Sandwiches,2.5
Home Grown Cafe,16,American (New),Vegetarian,Music Venues,3.5
Honeygrow,12,American (New),Salad,Honey,4
Iron Hill Brewery & Restaurant,21,American (New),Breweries,0,4
Jimmy John's,7,Sandwiches,0,0,4
KFC,8,Fast Food,Chicken Wings,0,2.5
Klondike Kate's,18,Bars,American (New),0,3
Margherita's Pizza,8,Pizza,0,0,3.5
Mayflower Japanese Restaurant,13,Japanese,0,0,3
McDonald's,6,Burgers,Fast Food,0,3.5
Mediterranean Grille,14,Mediterranean,0,0,4.5
Newark Deli & Bagels,7,Delis,Bagels,Breakfast & Brunch,3.5
Outback Steakhouse,21,Steakhouses,0,0,3
Panera Bread,12,Sandwiches,Salad,Soup,2.5
Papa John's Pizza,8,Pizza,0,0,2.5
Pat's Pizzeria,11,Pizza,Sports Bars,Karaoke,2.5
Popeyes,8,Fast Food,Chicken Wings,0,2
Ramen Kumamoto,13,Ramen,0,0,4
Seasons Pizza,9,Italian,Pizza,Chicken Wings,2.5
Sinclairs Cafe,12,Breakfast & Brunch,Cafes,0,3.5
Stone Balloon Ale House,21,Gastropubs,Pubs,Comfort Food,4
Subway,7,Sandwiches,Fast Food,0,4
Taverna,23,Italian,Bars,Pizza,4
The Cart At UD,7,Asian Fusion,Food Trucks,Street Vendors,3
The Greene Turtle,17,American (Traditional),Sports Bars,Burgers,3
The Red Bowl,11,Asian Fusion,Chinese,0,3.5
Vita Nova,28,American (New),0,0,5
